,A_Polarity,A_Subjectivity,Characters,Dale_Chall,Dale_Chall_Percentage,Flesch,S_Polarity,S_Subjectivity,Spache_Percentage,Weasel_Percentage,Word_Count,bin
14,0.08579545454545454,0.18806818181818183,4.885,12.397971428571429,0.49,33.5780347593583,0.0659090909090909,0.12959280303030304,0.46,0.025,200,0
15,0.03166666666666667,0.3344444444444445,4.670212765957447,13.29015106382979,0.425531914893617,60.90619889937108,-0.004166666666666665,0.18090277777777777,0.43617021276595747,0.03900709219858156,282,0
16,0.0538205241550312,0.39120226408958797,4.859278803869833,11.19998685437525,0.5699208443271768,55.67480422529957,0.0530980817651736,0.332973687310422,0.55584872471416,0.03781882145998241,1137,0
17,0.0484727198089267,0.30807956411404686,5.072847682119205,12.630994859665721,0.5320088300220751,29.13654494382027,0.017343460111317256,0.30906153370439077,0.4503311258278146,0.026490066225165563,453,0
18,0.1708333333333333,0.3415798611111111,4.614987080103359,12.678108785529716,0.4780361757105943,52.63267331932775,0.146484375,0.28884548611111116,0.45219638242894056,0.025839793281653745,387,0
19,0.16015395894428155,0.38291788856304987,4.914414414414415,12.75580916799152,0.5045045045045045,42.69206447963802,0.18049873737373737,0.33617845117845113,0.4752252252252252,0.01126126126126126,444,0
20,0.18752301688921405,0.4317657459910981,4.6726886291179595,10.565774211831386,0.6227417640807651,47.28029336734696,0.1772340890104048,0.36310625047467154,0.5727948990435706,0.04250797024442083,941,0
21,0.10049767152039879,0.4070731667322576,4.645994832041343,11.794640538075695,0.5310077519379846,60.34449381926686,0.08192541777219198,0.3277482777079551,0.4509043927648579,0.037467700258397935,774,0
22,0.0375,0.16206709956709955,4.801574803149606,10.703188863892013,0.6094488188976378,51.324231647634576,0.012946428571428572,0.0690263605442177,0.5669291338582677,0.02047244094488189,635,0
0,0.14249639249639254,0.4280633718133718,4.731939163498099,10.21184557305812,0.6425855513307985,51.76142857142858,0.09187109187109188,0.30098454785954787,0.596958174904943,0.030418250950570342,526,0
1,0.006127899877899877,0.31923076923076926,5.060582218725413,11.93011304847788,0.5515342250196695,40.543624945763355,0.00796130952380953,0.260749771062271,0.5121951219512195,0.03461841070023604,1271,0
2,0.027454972035264025,0.3248893786667506,5.459710144927536,11.674450175799675,0.5550724637681159,29.373831529687067,0.02304563492063493,0.2596716406489134,0.5101449275362319,0.03797101449275362,3450,0
3,-0.006428571428571433,0.34409035409035404,4.757687576875769,10.05855873133017,0.6297662976629766,63.03353773584905,-0.00016865079365079675,0.1869427655677655,0.5731857318573186,0.056580565805658053,813,0
4,0.056070693709582606,0.3318849206349209,5.480020232675772,13.127772770190527,0.5139099645928173,10.31454861111115,0.03961909376153563,0.27827727021040977,0.46079919069296915,0.028831562974203338,1977,0
5,0.013215894465894468,0.31925675675675674,5.037433155080214,11.9490474407945,0.5469824293353706,41.6584955533597,0.013208874458874462,0.2427012987012986,0.5064935064935064,0.03284950343773873,1309,0
6,0.05846153846153846,0.32871794871794874,5.518828451882845,13.606333751743376,0.49372384937238495,4.611884057971025,0.09555555555555556,0.28555555555555556,0.4393305439330544,0.03347280334728033,239,0
7,0.04321428571428572,0.5145238095238095,5.2700729927007295,12.725665352798055,0.48175182481751827,36.304088050314476,0.10127525252525253,0.4151515151515151,0.4489051094890511,0.0072992700729927005,274,0
8,0.07450216450216449,0.46752705627705626,5.094890510948905,12.173521224031443,0.5255474452554745,40.21966828710325,0.024203069657615137,0.4400383707201889,0.4489051094890511,0.0364963503649635,274,0
9,0.09515740740740739,0.34730291005291003,4.901394422310757,11.800220092180298,0.5448207171314741,46.80924984054485,0.09346912202380951,0.3093086557539683,0.5268924302788844,0.04880478087649402,1004,0
10,0.006666666666666672,0.3768518518518518,4.821705426356589,10.897473925299508,0.6015503875968993,50.27657444005271,0.02045019157088123,0.343007662835249,0.5193798449612403,0.027906976744186046,645,0
11,0.058994708994708996,0.4013227513227513,5.015625,12.924619375,0.4921875,40.347200000000015,0.03172619047619048,0.1913690476190476,0.43359375,0.015625,256,0
12,0.10333333333333333,0.32476190476190475,5.281065088757397,11.94841368836292,0.5443786982248521,30.317091641490464,0.07495670995670996,0.26116883116883116,0.46449704142011833,0.023668639053254437,338,0
